N1	N2	W
2	1	1
5	1	1
44	1	1
59	1	1
161	1	1
3	1	1
5	1	1
11	1	1
13	1	1
14	1	1
44	1	1
55	1	1
56	1	1
57	1	1
57	1	1
58	1	1
60	1	1
68	1	1
73	1	1
113	1	1
159	1	1
163	1	1
171	1	1
171	1	1
172	1	1
179	1	1
181	1	1
199	1	1
227	1	1
1	2	1
6	2	1
45	2	1
58	2	1
162	2	1
4	2	1
6	2	1
12	2	1
13	2	1
14	2	1
45	2	1
54	2	1
56	2	1
56	2	1
57	2	1
60	2	1
67	2	1
67	2	1
171	2	1
171	2	1
172	2	1
180	2	1
180	2	1
182	2	1
186	2	1
200	2	1
226	2	1
233	2	1
1	3	1
17	3	1
70	3	1
4	3	1
4	3	1
23	3	1
54	3	1
55	3	1
60	3	1
71	3	1
81	3	1
81	3	1
83	3	1
112	3	1
112	3	1
112	3	1
118	3	1
124	3	1
124	3	1
124	3	1
131	3	1
131	3	1
167	3	1
174	3	1
176	3	1
176	3	1
177	3	1
177	3	1
178	3	1
185	3	1
186	3	1
189	3	1
189	3	1
199	3	1
201	3	1
213	3	1
217	3	1
221	3	1
232	3	1
2	4	1
3	4	1
3	4	1
69	4	1
23	4	1
27	4	1
54	4	1
54	4	1
55	4	1
55	4	1
59	4	1
61	4	1
68	4	1
69	4	1
69	4	1
70	4	1
72	4	1
72	4	1
82	4	1
84	4	1
112	4	1
112	4	1
113	4	1
113	4	1
113	4	1
125	4	1
125	4	1
132	4	1
163	4	1
176	4	1
176	4	1
177	4	1
178	4	1
190	4	1
206	4	1
1	5	1
1	5	1
21	5	1
21	5	1
44	5	1
52	5	1
52	5	1
75	5	1
75	5	1
135	5	1
167	5	1
167	5	1
176	5	1
183	5	1
222	5	1
2	6	1
2	6	1
12	6	1
20	6	1
20	6	1
22	6	1
22	6	1
40	6	1
45	6	1
45	6	1
53	6	1
65	6	1
74	6	1
76	6	1
76	6	1
76	6	1
160	6	1
160	6	1
168	6	1
168	6	1
177	6	1
177	6	1
178	6	1
183	6	1
221	6	1
223	6	1
235	6	1
8	7	1
59	7	1
135	7	1
199	7	1
11	7	1
11	7	1
13	7	1
13	7	1
14	7	1
23	7	1
41	7	1
41	7	1
44	7	1
54	7	1
55	7	1
56	7	1
56	7	1
58	7	1
59	7	1
66	7	1
67	7	1
68	7	1
75	7	1
85	7	1
135	7	1
181	7	1
211	7	1
7	8	1
12	8	1
12	8	1
12	8	1
14	8	1
41	8	1
45	8	1
45	8	1
55	8	1
56	8	1
57	8	1
58	8	1
58	8	1
59	8	1
66	8	1
68	8	1
68	8	1
78	8	1
132	8	1
152	8	1
152	8	1
171	8	1
172	8	1
10	9	1
13	9	1
18	9	1
18	9	1
18	9	1
19	9	1
41	9	1
41	9	1
73	9	1
73	9	1
9	10	1
14	10	1
17	10	1
17	10	1
18	10	1
20	10	1
20	10	1
41	10	1
41	10	1
74	10	1
74	10	1
183	10	1
1	11	1
7	11	1
7	11	1
12	11	1
46	11	1
73	11	1
13	11	1
13	11	1
15	11	1
15	11	1
15	11	1
18	11	1
21	11	1
21	11	1
40	11	1
41	11	1
41	11	1
41	11	1
41	11	1
42	11	1
42	11	1
42	11	1
44	11	1
44	11	1
44	11	1
47	11	1
50	11	1
50	11	1
50	11	1
50	11	1
77	11	1
78	11	1
114	11	1
114	11	1
161	11	1
161	11	1
174	11	1
199	11	1
2	12	1
8	12	1
8	12	1
8	12	1
6	12	1
11	12	1
47	12	1
74	12	1
14	12	1
14	12	1
16	12	1
22	12	1
22	12	1
41	12	1
41	12	1
41	12	1
43	12	1
43	12	1
43	12	1
43	12	1
45	12	1
45	12	1
47	12	1
47	12	1
51	12	1
51	12	1
74	12	1
77	12	1
77	12	1
77	12	1
78	12	1
78	12	1
78	12	1
78	12	1
162	12	1
162	12	1
175	12	1
1	13	1
2	13	1
7	13	1
7	13	1
11	13	1
11	13	1
9	13	1
111	13	1
164	13	1
177	13	1
180	13	1
185	13	1
18	13	1
19	13	1
21	13	1
21	13	1
22	13	1
22	13	1
40	13	1
40	13	1
41	13	1
41	13	1
42	13	1
44	13	1
44	13	1
46	13	1
50	13	1
54	13	1
56	13	1
56	13	1
77	13	1
77	13	1
79	13	1
111	13	1
112	13	1
112	13	1
112	13	1
115	13	1
164	13	1
170	13	1
170	13	1
170	13	1
170	13	1
174	13	1
177	13	1
179	13	1
180	13	1
180	13	1
180	13	1
203	13	1
203	13	1
204	13	1
205	13	1
211	13	1
225	13	1
1	14	1
2	14	1
7	14	1
8	14	1
12	14	1
12	14	1
10	14	1
96	14	1
111	14	1
164	14	1
176	14	1
179	14	1
184	14	1
186	14	1
21	14	1
21	14	1
22	14	1
40	14	1
40	14	1
41	14	1
41	14	1
43	14	1
45	14	1
45	14	1
47	14	1
55	14	1
57	14	1
60	14	1
75	14	1
77	14	1
78	14	1
111	14	1
112	14	1
113	14	1
115	14	1
164	14	1
167	14	1
169	14	1
169	14	1
179	14	1
179	14	1
180	14	1
199	14	1
203	14	1
204	14	1
210	14	1
224	14	1
224	14	1
226	14	1
252	14	1
252	14	1
11	15	1
11	15	1
11	15	1
217	15	1
24	15	1
42	15	1
50	15	1
50	15	1
57	15	1
58	15	1
59	15	1
61	15	1
62	15	1
62	15	1
63	15	1
65	15	1
66	15	1
67	15	1
161	15	1
174	15	1
222	15	1
12	16	1
43	16	1
49	16	1
