G	N	W
282	3	1
283	4	1
284	3	1
285	4	1
286	5	1
286	7	1
286	9	1
286	40	1
286	42	1
286	44	1
286	46	1
286	48	1
286	50	1
286	73	1
286	75	1
286	77	1
287	6	1
287	8	1
287	10	1
287	41	1
287	43	1
287	45	1
287	47	1
287	49	1
287	51	1
287	74	1
287	76	1
287	78	1
288	5	1
288	7	1
288	9	1
288	40	1
288	42	1
288	44	1
288	46	1
288	48	1
288	50	1
288	73	1
288	75	1
288	77	1
289	6	1
289	8	1
289	10	1
289	41	1
289	43	1
289	45	1
289	47	1
289	49	1
289	51	1
289	74	1
289	76	1
289	78	1
290	83	1
291	84	1
292	85	1
293	86	1
294	83	1
295	84	1
296	85	1
297	86	1
298	116	1
298	122	1
299	117	1
299	123	1
300	118	1
300	124	1
301	119	1
301	125	1
302	120	1
302	126	1
303	121	1
303	127	1
304	116	1
304	122	1
305	117	1
305	123	1
306	118	1
306	124	1
307	119	1
307	125	1
308	120	1
308	126	1
309	121	1
309	127	1
310	131	1
311	132	1
312	131	1
313	132	1
314	133	1
315	134	1
316	135	1
317	136	1
318	133	1
319	134	1
320	135	1
321	136	1
322	139	1
323	140	1
324	139	1
325	140	1
326	141	1
326	143	1
326	151	1
327	142	1
327	144	1
328	141	1
328	143	1
328	151	1
329	141	1
329	143	1
329	151	1
330	142	1
330	144	1
331	142	1
331	144	1
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
